AGE,EDUC,MARRIED,KIDS,OCCAT1,OCCAT2,INCOME,WAGEINC,YESFINRISK,NOFINRISK,SAVING,HSTOCKS,HBROK,HOUSECL,NETWORTH,RiskTolerance
37,12.0,1,0,2,1,4113196.3223,269801.24392,0,0,77000.0,1,1,1,68754000.0,0.9136413641364136
37,12.0,1,0,2,1,3634680.9086,274891.83342,0,0,73000.0,1,1,1,68988000.0,0.9145673603504929
37,12.0,1,0,2,1,3756855.0568,254529.47539,0,0,63000.0,1,1,1,70801000.0,0.9085468690495621
54,12.0,1,2,2,1,868454.57004,712682.5311,0,0,0.0,1,1,1,8590000.0,0.9923096005953858
54,12.0,1,2,2,1,1009972.9584,712682.5311,0,0,0.0,1,1,1,8590000.0,0.9923096005953858
54,12.0,1,2,2,1,840965.3867,712682.5311,0,0,0.0,1,1,1,8589000.0,0.9923096005953858
54,12.0,1,2,2,1,839947.26879,712682.5311,0,0,0.0,1,1,1,8590000.0,0.9923096005953858
54,12.0,1,2,2,1,867436.45214,712682.5311,0,0,0.0,1,1,1,8589000.0,0.9923096005953858
30,13.0,1,0,1,1,86540.021633,85521.903732,0,0,10000.0,1,1,1,126510.0,0.5263157894736842
30,13.0,1,0,1,1,86540.021633,85521.903732,0,0,10000.0,1,1,1,125610.0,0.5263157894736842
30,13.0,1,0,1,1,85521.903732,85521.903732,0,0,10000.0,1,1,1,125610.0,0.5263157894736842
30,13.0,1,0,1,1,86540.021633,85521.903732,0,0,10000.0,1,1,1,126510.0,0.5263157894736842
30,13.0,1,0,1,1,86540.021633,85521.903732,0,0,10000.0,1,1,1,125510.0,0.5263157894736842
54,9.0,1,0,2,1,1069023.7966,221949.70254,0,0,0.0,1,0,1,4347000.0,0.18726591760299627
54,9.0,1,0,2,1,991646.83613,215840.99513,0,0,0.0,1,0,1,4549000.0,0.20458265139116202
54,9.0,1,0,2,1,879653.86696,215840.99513,0,0,0.0,1,0,1,4422000.0,0.280688622754491
54,9.0,1,0,2,1,772751.48729,210750.40562,0,0,0.0,1,0,1,4446000.0,0.25303643724696356
54,9.0,1,0,2,1,1028299.0806,221949.70254,0,0,0.0,1,0,1,4011000.0,0.22813688212927757
56,13.0,2,0,1,1,122174.14819,119119.79448,0,0,16000.0,1,0,1,2539700.0,0.11705685618729098
56,13.0,2,0,1,1,129300.9735,119119.79448,0,0,16000.0,1,0,1,2542200.0,0.13157894736842105
56,13.0,2,0,1,1,122174.14819,119119.79448,0,0,16000.0,1,0,1,2542200.0,0.14563106796116504
56,13.0,2,0,1,1,122174.14819,119119.79448,0,0,16000.0,1,0,1,2542700.0,0.1592356687898089
56,13.0,2,0,1,1,135409.68091,119119.79448,0,0,16000.0,1,0,1,2542300.0,0.12292358803986711
60,12.0,1,0,2,1,1903880.4759,152717.68524,0,0,0.0,1,1,1,34806500.0,0.9436081355292341
60,12.0,1,0,2,1,1914061.6549,152717.68524,0,0,0.0,1,1,1,35308500.0,0.9461590448299166
60,12.0,1,0,2,1,1903880.4759,152717.68524,0,0,0.0,1,1,1,35318500.0,0.946207517443169
60,12.0,1,0,2,1,1903880.4759,152717.68524,0,0,0.0,1,1,1,35308500.0,0.9461590448299166
60,12.0,1,0,2,1,1914061.6549,152717.68524,0,0,0.0,1,1,1,34808500.0,0.9436187780136824
58,14.0,1,1,2,1,607816.38724,0.0,0,0,15900.0,1,1,1,17957900.0,0.7439962947999094
58,14.0,1,1,2,1,600689.56193,0.0,0,0,15200.0,1,1,1,17294200.0,0.7413729280631761
58,14.0,1,1,2,1,692320.17307,0.0,0,0,17500.0,1,1,1,18037500.0,0.7246738967464641
58,14.0,1,1,2,1,686211.46566,0.0,0,0,17500.0,1,1,1,17243500.0,0.7220031747657331
58,14.0,1,1,2,1,599671.44402,0.0,0,0,16200.0,1,1,1,18055200.0,0.7204042158449453
40,14.0,1,0,2,1,2423120.6057,477497.29584,0,0,0.0,0,1,1,5972000.0,0.6414825374198146
40,14.0,1,0,2,1,2433301.7847,476479.17793,0,0,0.0,0,1,1,5982000.0,0.6414825374198146
40,14.0,1,0,2,1,2433301.7847,476479.17793,0,0,0.0,0,1,1,5982000.0,0.6414825374198146
40,14.0,1,0,2,1,2433301.7847,477497.29584,0,0,0.0,0,1,1,5982000.0,0.6414825374198146
40,14.0,1,0,2,1,2433301.7847,476479.17793,0,0,0.0,0,1,1,5972000.0,0.6414825374198146
51,13.0,1,4,1,1,320707.13899,229076.52785,0,0,18090.0,1,1,1,2386900.0,0.757934628138323
51,13.0,1,4,1,1,326815.8464,229076.52785,0,0,17940.0,1,1,1,2386070.0,0.7605647193040833
51,13.0,1,4,1,1,322743.3748,229076.52785,0,0,18040.0,1,1,1,2385060.0,0.7645990633661474
51,13.0,1,4,1,1,321725.2569,229076.52785,0,0,17960.0,1,1,1,2385740.0,0.7581501137225171
51,13.0,1,4,1,1,322743.3748,229076.52785,0,0,18140.0,1,1,1,2384870.0,0.7649280489553951
52,14.0,1,3,2,1,4153921.0384,0.0,0,0,750000.0,0,1,1,16390800.0,0.7734550235903782
52,14.0,1,3,2,1,4153921.0384,0.0,0,0,750000.0,0,1,1,16273800.0,0.7480923644706
52,14.0,1,3,2,1,4143739.8594,0.0,0,0,750000.0,0,1,1,16030700.0,0.7734550235903782
52,14.0,1,3,2,1,4143739.8594,0.0,0,0,750000.0,0,1,1,15909700.0,0.7685016778953301
52,14.0,1,3,2,1,4143739.8594,0.0,0,0,750000.0,0,1,1,16155800.0,0.7709703947368421
75,12.0,1,0,2,1,112502.02812,11199.296917,0,0,0.0,1,0,1,3265100.0,0.5241090146750524
75,12.0,1,0,2,1,115556.38183,15271.768524,0,0,0.0,1,0,1,2029370.0,0.560450153563342
75,12.0,1,0,2,1,103338.96701,13235.53272,0,0,0.0,1,0,1,2095520.0,0.6430454633142563
75,12.0,1,0,2,1,106393.32071,12217.414819,0,0,0.0,1,0,1,1850230.0,0.5120537451610921
75,12.0,1,0,2,1,106393.32071,12217.414819,0,0,0.0,1,0,1,1947000.0,0.546448087431694
63,14.0,1,0,2,1,2606381.828,0.0,0,0,650.0,0,1,1,49676650.0,0.9447797845685794
63,14.0,1,0,2,1,2871092.4824,0.0,0,0,940.0,0,1,1,32176940.0,0.8959300174583439
63,14.0,1,0,2,1,2575838.291,0.0,0,0,550.0,0,1,1,30967550.0,0.8887941765789741
63,14.0,1,0,2,1,2993266.6306,0.0,0,0,550.0,0,1,1,36001550.0,0.9129226484219274
63,14.0,1,0,2,1,2881273.6614,0.0,0,0,950.0,0,1,1,36249950.0,0.9123806353374884
84,8.0,1,0,3,4,43982.693348,0.0,0,1,54000.0,0,0,1,247000.0,0.08823529411764706
84,8.0,1,0,3,4,43982.693348,0.0,0,1,54000.0,0,0,1,248000.0,0.08823529411764706
84,8.0,1,0,3,4,43982.693348,0.0,0,1,54000.0,0,0,1,248000.0,0.08823529411764706
84,8.0,1,0,3,4,43982.693348,0.0,0,1,54000.0,0,0,1,248000.0,0.08759124087591241
84,8.0,1,0,3,4,43982.693348,0.0,0,1,54000.0,0,0,1,247000.0,0.08823529411764706
73,12.0,1,0,2,1,394011.62791,122174.14819,0,0,6000.0,1,1,1,23748000.0,0.9863980895026477
73,12.0,1,0,2,1,394011.62791,122174.14819,0,0,6000.0,1,1,1,23748000.0,0.9863980895026477
73,12.0,1,0,2,1,394011.62791,122174.14819,0,0,6000.0,1,1,1,23748000.0,0.9863980895026477
73,12.0,1,0,2,1,394011.62791,122174.14819,0,0,6000.0,1,1,1,23748000.0,0.9863980895026477
73,12.0,1,0,2,1,394011.62791,122174.14819,0,0,6000.0,1,1,1,23747000.0,0.9863980895026477
45,8.0,2,0,2,2,81449.432125,55996.484586,0,0,86000.0,1,0,2,186500.0,0.07887323943661972
45,8.0,2,0,2,2,81449.432125,55996.484586,0,0,86000.0,1,0,2,194500.0,0.0823199251637044
